FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
118,TOTAL NUMBER OF BATHROOMS - ALL BUILDINGS,Numeric,,3,,"Total number of rooms that are considered bathrooms across all buildings on the property.  For example, a half bathroom is considered one room.  "
119,TOTAL NUMBER OF BATHROOMS,Numeric,,7,2,"Total number of rooms that are Bathrooms (Primary Building) if this is the method of establishing bathroom property characterized by the source.  Source values are whole numbers, although field allows for up to 2 decimal places in data deliveries."
120,TOTAL NUMBER OF FULL BATHS - ALL BUILDINGS,Numeric,,5,,Total number of full bath rooms as supplied by source. If source does not break out full versus partial Baths -field will be null in this case.
121,TOTAL NUMBER OF HALF BATHS - ALL BUILDINGS,Numeric,,5,,Total number of half bath rooms (typically comprised of a sink & toilet) as supplied by source. If source does not break out full versus partial Baths – field will be null in this case.
122,TOTAL NUMBER OF 1QTR BATHS - ALL BUILDINGS,Numeric,,5,,"Total number of quarter bath rooms (typically comprised only of a sink, as found in many laundry rooms) as supplied by source. If source does not break out full versus partial Baths – field will be null in this case."
123,TOTAL NUMBER OF 3QTR BATHS - ALL BUILDINGS,Numeric,,5,,"Total number of three-quarter bath rooms (typically comprised of a sink, toilet & shower stall) as supplied by source.  If source does not break out full versus partial Baths – field will be null in this case."
124,TOTAL NUMBER OF BATH FIXTURES,Numeric,,5,,"The total number of bathroom fixtures - Primary Building (typically a full bath would have 4 fixtures - 1 = sink, 1 = toilet, 1 = bathtub, 1 = shower head)."
125,TOTAL NUMBER OF BATH FIXTURES - ALL BUILDINGS,Numeric,,5,,"CoreLogic calculated total designated bath fixtures associated with all the bathrooms in all the buildings on the property. Examples: sink, toilet, shower stall, tub and faucets."
PARCEL ESSENTIALS STRUCTURE INTERIOR,,,,,,
126,BASEMENT FINISH TYPE CODE,AlphaNumeric,BSMTF,3,,The standardized code that identifies the basement's degree of completion.
127,FIREPLACE INDICATOR,AlphaNumeric,,1,,"This field is populated with a ""Y"" if a fireplace is located within the building."
128,TOTAL NUMBER OF FIREPLACES,Numeric,,3,,This represents the number of fireplace openings located within all buildings on the property.
129,FIREPLACE TYPE CODE,AlphaNumeric,FIREP,3,,"The type of fireplace. If more than one fireplace, this field reflects the first/main building."
130,FLOOR TYPE CODE,AlphaNumeric,FLRCO,3,,"The type of floor construction (e.g., Concrete, Plywood)."
131,STORIES TYPE CODE,AlphaNumeric,STORY,3,,"Type / number of stories (e.g., Split Foyer, Tri Level, 2 Story)."
132,TOTAL NUMBER OF STORIES,Numeric,,6,2,Number of stories associated with the building.
PARCEL ESSENTIALS STRUCTURE EXTERIOR,,,,,,
133,BUILDING TYPE CODE,AlphaNumeric,BLDG,3,,"The primary building type (e.g., Bowling Alley, Supermarket)."
134,BUILDING IMPROVEMENT TYPE CODE,AlphaNumeric,IMPRV,3,,"The primary improvement type (e.g., Grain Silo, Hanger, Marina)."
135,BUILDING IMPROVEMENT CONDITION CODE,AlphaNumeric,COND,3,,"This represents the physical condition of the main improvement (e.g., Good, Fair, Under Construction)."
136,CONSTRUCTION TYPE CODE,AlphaNumeric,CNSTR,3,,"The primary method of construction (e.g., Steel / Glass, Concrete Block, Log)."
137,EXTERIOR WALL TYPE CODE,AlphaNumeric,EXTNW,3,,"The type and/or finish of the exterior walls (e.g., Vinyl Siding, Brick Veneer, Frame / Stone)."
138,FOUNDATION TYPE CODE,AlphaNumeric,FOUND,3,,"The type of foundation (e.g., Continuous Footing, Pier, Mud Sill)."
139,FRAME TYPE CODE,AlphaNumeric,FRAME,3,,"The type of wall framing used (e.g., Bar Joist, Reinforced Concrete, Flexicore)."
140,GARAGE TYPE CODE,AlphaNumeric,GRGCD,3,,"Type of garage or carport present (e.g., Attached Finished, Enclosed Carport, Basement Garage)."
